Title,Genre,Is Series,Hidden Gem Score,Runtime,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,IMDb Votes,Minimum Age,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Saint Frances,"Comedy, Drama",0,8.0,3.0,7.1,99.0,83.0,11.0,17.0,44330.0,1609372800,2423.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under the Silver Lake,"Crime, Drama, Mystery, Thriller",0,3.1,5.0,6.5,59.0,60.0,3.0,9.0,46083.0,1609286400,33843.0,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Butterfly,Drama,0,4.9,3.0,7.6,96.0,69.0,6.0,19.0,2092682.0,1609113600,8277.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Life,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",0,3.6,3.0,5.8,82.0,77.0,5.0,15.0,1225852.0,1609113600,29177.0,17,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Evils Wave,Drama,1,3.5,1.0,7.8,68.0,61.0,9.0,10.0,15530.0,1609113600,35722.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Mercy,"Biography, Crime, Drama",0,3.8,5.0,7.6,85.0,68.0,10.0,15.0,36001502.0,1609027200,47215.0,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Tree,Drama,0,8.4,3.0,6.5,98.0,67.0,3.0,11.0,10128.0,1609027200,796.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judy & Punch,"Biography, Drama, Romance",0,3.6,3.0,6.8,81.0,66.0,23.0,61.0,24313888.0,1609027200,41429.0,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grandmas Last Wishes,"Comedy, Drama",0,3.9,3.0,6.7,91.0,77.0,5.0,13.0,6980524.0,1608940800,14680.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel by the River,Drama,0,8.5,3.0,6.7,95.0,79.0,6.0,12.0,28354.0,1608681600,1083.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babyteeth,"Comedy, Drama, Music, Romance",0,4.2,3.0,7.2,94.0,77.0,27.0,22.0,4507.0,1608681600,9757.0,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Guys,Drama,0,7.6,3.0,6.3,73.0,60.0,1.0,2.0,21366.0,1608163200,1260.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grizzlies,"Biography, Drama",0,8.2,3.0,7.5,85.0,69.0,7.0,9.0,11650.0,1608076800,1314.0,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Other,"Drama, Horror, Mystery, Thriller",0,5.8,3.0,6.9,83.0,65.0,1.0,0.0,475611.0,1607731200,5681.0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
What If,"Comedy, Romance",0,3.3,3.0,6.8,74.0,59.0,2.0,8.0,3493000.0,1607731200,71158.0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Living in Oblivion,"Comedy, Drama",0,4.1,3.0,7.5,88.0,81.0,7.0,8.0,1111790.0,1607731200,16678.0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilberts Grim Revenge,"Documentary, Biography, Comedy",0,8.7,3.0,7.5,95.0,73.0,1.0,1.0,8362.0,1607731200,716.0,17,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deck the Halls,"Comedy, Family",0,1.4,3.0,5.0,6.0,28.0,1.0,8.0,35093569.0,1607731200,23597.0,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Can Only Imagine,"Biography, Drama, Family, Music",0,2.8,3.0,7.3,63.0,30.0,6.0,4.0,83482352.0,1607731200,14390.0,10,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mystery,"Adventure, Comedy",1,3.2,1.0,7.0,71.0,51.0,3.0,8.0,53883989.0,1607731200,221785.0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me & You vs The World,"Biography, Crime, Drama",0,4.2,3.0,8.1,96.0,75.0,16.0,46.0,164615351.0,1607731200,837936.0,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
